rank,prev_rank,name,league,off,def,spi
623,623,Walsall,English League Two,0.35,2.28,9.09
624,626,Grimsby Town,English League Two,0.35,2.29,9.0
625,624,Stevenage,English League Two,0.3,2.18,8.92
626,622,Cambridge United,English League Two,0.29,2.17,8.76
627,628,Morecambe,English League Two,0.37,2.42,8.33
628,627,Rio Grande Valley FC Toros,United Soccer League,0.35,2.45,7.88
629,630,Newport County,English League Two,0.2,2.11,7.52
630,629,Carlisle United,English League Two,0.25,2.31,7.18
631,631,Loudoun United FC,United Soccer League,0.34,2.65,6.51
632,632,Harrogate Town,English League Two,0.2,2.33,6.19
633,633,Bethlehem Steel FC,United Soccer League,0.37,2.99,5.36
